sample: 2-203-5-3 cell 87	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	5.455E+1
7.800E-1	4.958E+1
7.600E-1	4.484E+1
7.400E-1	4.030E+1
7.200E-1	3.595E+1
7.000E-1	3.180E+1
6.800E-1	2.785E+1
6.600E-1	2.415E+1
6.400E-1	2.068E+1
6.200E-1	1.749E+1
6.000E-1	1.457E+1
5.800E-1	1.194E+1
5.600E-1	9.639E+0
5.400E-1	7.630E+0
5.200E-1	5.929E+0
5.000E-1	4.515E+0
4.800E-1	3.372E+0
4.600E-1	2.473E+0
4.400E-1	1.781E+0
4.200E-1	1.267E+0
4.000E-1	8.944E-1
3.800E-1	6.305E-1
3.600E-1	4.488E-1
3.400E-1	3.242E-1
3.200E-1	2.406E-1
3.000E-1	1.832E-1
2.800E-1	1.441E-1
2.600E-1	1.163E-1
2.400E-1	9.589E-2
2.200E-1	8.080E-2
2.000E-1	6.859E-2
1.800E-1	5.851E-2
1.600E-1	5.003E-2
1.400E-1	4.207E-2
1.200E-1	3.538E-2
1.000E-1	2.848E-2
8.000E-2	2.267E-2
6.000E-2	1.647E-2
4.000E-2	1.071E-2
2.000E-2	5.525E-3
0.000E+0	-1.224E-4
-2.000E-2	-5.204E-3
-4.000E-2	-1.054E-2
-6.000E-2	-1.544E-2
-8.000E-2	-2.090E-2
-1.000E-1	-2.567E-2
-1.200E-1	-3.096E-2
-1.400E-1	-3.587E-2
-1.600E-1	-4.097E-2
-1.800E-1	-4.614E-2
-2.000E-1	-5.104E-2
-2.200E-1	-5.644E-2
-2.400E-1	-6.124E-2
-2.600E-1	-6.680E-2
-2.800E-1	-7.158E-2
-3.000E-1	-7.708E-2
-3.200E-1	-8.215E-2
-3.400E-1	-8.750E-2
-3.600E-1	-9.286E-2
-3.800E-1	-9.809E-2
-4.000E-1	-1.037E-1
-4.200E-1	-1.089E-1
-4.400E-1	-1.147E-1
-4.600E-1	-1.200E-1
-4.800E-1	-1.257E-1
-5.000E-1	-1.311E-1
