sample: 2-203-5-3 cell 86	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	6.101E+1
7.800E-1	5.548E+1
7.600E-1	5.031E+1
7.400E-1	4.537E+1
7.200E-1	4.065E+1
7.000E-1	3.613E+1
6.800E-1	3.182E+1
6.600E-1	2.776E+1
6.400E-1	2.394E+1
6.200E-1	2.039E+1
6.000E-1	1.712E+1
5.800E-1	1.416E+1
5.600E-1	1.152E+1
5.400E-1	9.203E+0
5.200E-1	7.213E+0
5.000E-1	5.539E+0
4.800E-1	4.171E+0
4.600E-1	3.082E+0
4.400E-1	2.237E+0
4.200E-1	1.601E+0
4.000E-1	1.135E+0
3.800E-1	8.037E-1
3.600E-1	5.713E-1
3.400E-1	4.114E-1
3.200E-1	3.021E-1
3.000E-1	2.273E-1
2.800E-1	1.759E-1
2.600E-1	1.394E-1
2.400E-1	1.135E-1
2.200E-1	9.386E-2
2.000E-1	7.848E-2
1.800E-1	6.651E-2
1.600E-1	5.581E-2
1.400E-1	4.717E-2
1.200E-1	3.870E-2
1.000E-1	3.158E-2
8.000E-2	2.448E-2
6.000E-2	1.807E-2
4.000E-2	1.184E-2
2.000E-2	5.747E-3
0.000E+0	-2.459E-5
-2.000E-2	-5.610E-3
-4.000E-2	-1.131E-2
-6.000E-2	-1.677E-2
-8.000E-2	-2.194E-2
-1.000E-1	-2.747E-2
-1.200E-1	-3.280E-2
-1.400E-1	-3.804E-2
-1.600E-1	-4.360E-2
-1.800E-1	-4.868E-2
-2.000E-1	-5.439E-2
-2.200E-1	-5.940E-2
-2.400E-1	-6.521E-2
-2.600E-1	-7.040E-2
-2.800E-1	-7.609E-2
-3.000E-1	-8.154E-2
-3.200E-1	-8.707E-2
-3.400E-1	-9.281E-2
-3.600E-1	-9.822E-2
-3.800E-1	-1.043E-1
-4.000E-1	-1.097E-1
-4.200E-1	-1.156E-1
-4.400E-1	-1.214E-1
-4.600E-1	-1.275E-1
-4.800E-1	-1.332E-1
-5.000E-1	-1.395E-1
