sample: 2-203-5-2 cell 74	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	4.157E+1
7.800E-1	3.752E+1
7.600E-1	3.360E+1
7.400E-1	2.974E+1
7.200E-1	2.592E+1
7.000E-1	2.214E+1
6.800E-1	1.839E+1
6.600E-1	1.468E+1
6.400E-1	1.100E+1
6.200E-1	7.364E+0
6.000E-1	3.766E+0
5.800E-1	2.419E-1
5.600E-1	-3.175E+0
5.400E-1	-6.496E+0
5.200E-1	-9.665E+0
5.000E-1	-1.262E+1
4.800E-1	-1.545E+1
4.600E-1	-1.799E+1
4.400E-1	-2.039E+1
4.200E-1	-2.247E+1
4.000E-1	-2.434E+1
3.800E-1	-2.598E+1
3.600E-1	-2.739E+1
3.400E-1	-2.853E+1
3.200E-1	-2.951E+1
3.000E-1	-3.035E+1
2.800E-1	-3.100E+1
2.600E-1	-3.147E+1
2.400E-1	-3.195E+1
2.200E-1	-3.223E+1
2.000E-1	-3.248E+1
1.800E-1	-3.264E+1
1.600E-1	-3.276E+1
1.400E-1	-3.284E+1
1.200E-1	-3.296E+1
1.000E-1	-3.294E+1
8.000E-2	-3.303E+1
6.000E-2	-3.301E+1
4.000E-2	-3.314E+1
2.000E-2	-3.316E+1
0.000E+0	-3.320E+1
-2.000E-2	-3.314E+1
-4.000E-2	-3.321E+1
-6.000E-2	-3.329E+1
-8.000E-2	-3.325E+1
-1.000E-1	-3.327E+1
-1.200E-1	-3.329E+1
-1.400E-1	-3.329E+1
-1.600E-1	-3.339E+1
-1.800E-1	-3.334E+1
-2.000E-1	-3.330E+1
-2.200E-1	-3.330E+1
-2.400E-1	-3.333E+1
-2.600E-1	-3.334E+1
-2.800E-1	-3.340E+1
-3.000E-1	-3.337E+1
-3.200E-1	-3.343E+1
-3.400E-1	-3.347E+1
-3.600E-1	-3.342E+1
-3.800E-1	-3.347E+1
-4.000E-1	-3.342E+1
-4.200E-1	-3.347E+1
-4.400E-1	-3.351E+1
-4.600E-1	-3.346E+1
-4.800E-1	-3.339E+1
-5.000E-1	-3.350E+1
