sample: 2-203-5-2 cell 75	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	4.664E+1
7.800E-1	4.165E+1
7.600E-1	3.683E+1
7.400E-1	3.215E+1
7.200E-1	2.760E+1
7.000E-1	2.318E+1
6.800E-1	1.888E+1
6.600E-1	1.471E+1
6.400E-1	1.070E+1
6.200E-1	6.776E+0
6.000E-1	2.990E+0
5.800E-1	-6.593E-1
5.600E-1	-4.153E+0
5.400E-1	-7.526E+0
5.200E-1	-1.064E+1
5.000E-1	-1.360E+1
4.800E-1	-1.628E+1
4.600E-1	-1.878E+1
4.400E-1	-2.107E+1
4.200E-1	-2.309E+1
4.000E-1	-2.486E+1
3.800E-1	-2.640E+1
3.600E-1	-2.770E+1
3.400E-1	-2.891E+1
3.200E-1	-2.975E+1
3.000E-1	-3.053E+1
2.800E-1	-3.115E+1
2.600E-1	-3.161E+1
2.400E-1	-3.202E+1
2.200E-1	-3.230E+1
2.000E-1	-3.252E+1
1.800E-1	-3.270E+1
1.600E-1	-3.282E+1
1.400E-1	-3.299E+1
1.200E-1	-3.301E+1
1.000E-1	-3.315E+1
8.000E-2	-3.309E+1
6.000E-2	-3.318E+1
4.000E-2	-3.316E+1
2.000E-2	-3.326E+1
0.000E+0	-3.326E+1
-2.000E-2	-3.327E+1
-4.000E-2	-3.325E+1
-6.000E-2	-3.332E+1
-8.000E-2	-3.334E+1
-1.000E-1	-3.330E+1
-1.200E-1	-3.338E+1
-1.400E-1	-3.342E+1
-1.600E-1	-3.333E+1
-1.800E-1	-3.334E+1
-2.000E-1	-3.338E+1
-2.200E-1	-3.346E+1
-2.400E-1	-3.344E+1
-2.600E-1	-3.338E+1
-2.800E-1	-3.343E+1
-3.000E-1	-3.356E+1
-3.200E-1	-3.352E+1
-3.400E-1	-3.353E+1
-3.600E-1	-3.352E+1
-3.800E-1	-3.343E+1
-4.000E-1	-3.347E+1
-4.200E-1	-3.344E+1
-4.400E-1	-3.355E+1
-4.600E-1	-3.353E+1
-4.800E-1	-3.356E+1
-5.000E-1	-3.355E+1
