sample: 2-203-5-2 cell 75	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	4.519E+1
7.800E-1	4.009E+1
7.600E-1	3.552E+1
7.400E-1	3.126E+1
7.200E-1	2.726E+1
7.000E-1	2.354E+1
6.800E-1	2.006E+1
6.600E-1	1.687E+1
6.400E-1	1.395E+1
6.200E-1	1.132E+1
6.000E-1	9.005E+0
5.800E-1	6.997E+0
5.600E-1	5.316E+0
5.400E-1	3.945E+0
5.200E-1	2.868E+0
5.000E-1	2.050E+0
4.800E-1	1.451E+0
4.600E-1	1.029E+0
4.400E-1	7.357E-1
4.200E-1	5.372E-1
4.000E-1	4.041E-1
3.800E-1	3.144E-1
3.600E-1	2.541E-1
3.400E-1	2.113E-1
3.200E-1	1.809E-1
3.000E-1	1.575E-1
2.800E-1	1.390E-1
2.600E-1	1.235E-1
2.400E-1	1.098E-1
2.200E-1	9.773E-2
2.000E-1	8.676E-2
1.800E-1	7.618E-2
1.600E-1	6.667E-2
1.400E-1	5.700E-2
1.200E-1	4.842E-2
1.000E-1	3.948E-2
8.000E-2	3.139E-2
6.000E-2	2.312E-2
4.000E-2	1.528E-2
2.000E-2	7.665E-3
0.000E+0	-4.531E-6
-2.000E-2	-7.424E-3
-4.000E-2	-1.489E-2
-6.000E-2	-2.181E-2
-8.000E-2	-2.929E-2
-1.000E-1	-3.631E-2
-1.200E-1	-4.354E-2
-1.400E-1	-5.081E-2
-1.600E-1	-5.784E-2
-1.800E-1	-6.531E-2
-2.000E-1	-7.228E-2
-2.200E-1	-7.992E-2
-2.400E-1	-8.693E-2
-2.600E-1	-9.462E-2
-2.800E-1	-1.018E-1
-3.000E-1	-1.094E-1
-3.200E-1	-1.165E-1
-3.400E-1	-1.245E-1
-3.600E-1	-1.319E-1
-3.800E-1	-1.398E-1
-4.000E-1	-1.475E-1
-4.200E-1	-1.553E-1
-4.400E-1	-1.634E-1
-4.600E-1	-1.713E-1
-4.800E-1	-1.797E-1
-5.000E-1	-1.875E-1
