sample: 2-203-5-3 cell 86	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	9.560E+1
7.800E-1	8.681E+1
7.600E-1	7.831E+1
7.400E-1	6.994E+1
7.200E-1	6.177E+1
7.000E-1	5.380E+1
6.800E-1	4.600E+1
6.600E-1	3.845E+1
6.400E-1	3.117E+1
6.200E-1	2.420E+1
6.000E-1	1.756E+1
5.800E-1	1.132E+1
5.600E-1	5.509E+0
5.400E-1	1.322E-1
5.200E-1	-4.753E+0
5.000E-1	-9.131E+0
4.800E-1	-1.307E+1
4.600E-1	-1.645E+1
4.400E-1	-1.936E+1
4.200E-1	-2.181E+1
4.000E-1	-2.388E+1
3.800E-1	-2.557E+1
3.600E-1	-2.697E+1
3.400E-1	-2.810E+1
3.200E-1	-2.897E+1
3.000E-1	-2.962E+1
2.800E-1	-3.017E+1
2.600E-1	-3.065E+1
2.400E-1	-3.093E+1
2.200E-1	-3.117E+1
2.000E-1	-3.134E+1
1.800E-1	-3.168E+1
1.600E-1	-3.173E+1
1.400E-1	-3.186E+1
1.200E-1	-3.195E+1
1.000E-1	-3.211E+1
8.000E-2	-3.213E+1
6.000E-2	-3.213E+1
4.000E-2	-3.223E+1
2.000E-2	-3.231E+1
0.000E+0	-3.238E+1
-2.000E-2	-3.237E+1
-4.000E-2	-3.242E+1
-6.000E-2	-3.246E+1
-8.000E-2	-3.255E+1
-1.000E-1	-3.254E+1
-1.200E-1	-3.258E+1
-1.400E-1	-3.260E+1
-1.600E-1	-3.263E+1
-1.800E-1	-3.267E+1
-2.000E-1	-3.267E+1
-2.200E-1	-3.275E+1
-2.400E-1	-3.271E+1
-2.600E-1	-3.282E+1
-2.800E-1	-3.278E+1
-3.000E-1	-3.282E+1
-3.200E-1	-3.282E+1
-3.400E-1	-3.288E+1
-3.600E-1	-3.285E+1
-3.800E-1	-3.296E+1
-4.000E-1	-3.291E+1
-4.200E-1	-3.299E+1
-4.400E-1	-3.303E+1
-4.600E-1	-3.292E+1
-4.800E-1	-3.295E+1
-5.000E-1	-3.299E+1
