cell	Jsc in mA/cm²	Voc in mV	FF in %	Roc in Ohm*cm²	Rsc in Ohm*cm²	eta in %	T start in °C	T end in °C
11	33.23	563.65	58.50	4.55	897.47	10.96	25.00	25.00
12	33.01	566.89	56.96	5.01	1249.06	10.66	25.00	25.00
13	33.53	572.71	56.06	4.98	904.61	10.77	25.00	25.00
14	33.68	578.04	57.84	4.43	1253.62	11.26	25.00	25.00
21	33.01	564.88	57.43	4.93	992.46	10.71	25.00	25.00
22	32.57	567.05	56.87	5.08	1086.19	10.50	25.00	25.00
23	32.83	575.02	56.49	4.93	837.17	10.66	25.00	25.00
24	33.06	579.21	58.06	4.45	915.23	11.12	25.00	25.00
31	33.07	565.31	54.43	5.70	979.99	10.17	25.00	25.00
32	32.47	567.18	54.69	5.75	1015.58	10.07	25.00	25.00
33	33.06	577.69	55.54	5.26	910.57	10.61	25.00	25.00
34	33.30	581.77	57.23	4.45	906.23	11.09	25.00	25.00
41	33.64	551.15	53.58	5.21	308.86	9.93	25.00	25.00
42	32.98	569.31	56.19	5.22	930.99	10.55	25.00	25.00
43	33.16	578.49	56.87	4.86	685.58	10.91	25.00	25.00
51	33.01	574.74	55.70	5.13	786.58	10.57	25.00	25.00
52	32.76	572.86	53.76	5.92	1035.36	10.09	25.00	25.00
53	33.43	578.15	53.43	5.86	1379.89	10.33	25.00	25.00
54	33.41	582.56	54.63	5.19	933.90	10.63	25.00	25.00
61	33.23	571.05	55.57	5.20	624.35	10.55	25.00	25.00
62	32.75	571.08	55.40	5.27	856.15	10.36	25.00	25.00
63	32.89	577.59	55.44	5.07	1128.87	10.53	25.00	25.00
64	33.06	580.34	55.41	4.79	677.32	10.63	25.00	25.00
71	32.45	566.65	49.78	7.28	727.31	9.15	25.00	25.00
72	31.81	568.70	51.81	6.22	657.43	9.37	25.00	25.00
73	32.71	573.34	53.89	5.46	2194.40	10.11	25.00	25.00
74	32.64	574.57	53.65	5.40	658.11	10.06	25.00	25.00
81	32.49	550.83	53.61	5.95	470.14	9.59	25.00	25.00
82	31.74	548.34	53.77	5.07	343.06	9.36	25.00	25.00
83	32.48	561.55	57.74	4.36	1935.13	10.53	25.00	25.00
15	33.52	581.80	58.22	3.90	686.59	11.35	25.00	25.00
16	34.09	581.30	57.96	3.84	860.00	11.49	25.00	25.00
17	33.31	580.24	58.82	3.88	1179.92	11.37	25.00	25.00
18	33.68	580.54	59.91	3.57	1252.37	11.72	25.00	25.00
25	32.94	581.86	58.58	3.93	967.90	11.23	25.00	25.00
26	33.26	581.96	58.02	3.97	833.87	11.23	25.00	25.00
27	32.25	581.14	59.06	3.90	911.88	11.07	25.00	25.00
28	32.44	581.41	60.35	3.62	938.62	11.38	25.00	25.00
35	33.30	585.43	57.34	4.26	1628.74	11.18	25.00	25.00
36	33.61	584.76	57.35	4.25	1696.51	11.27	25.00	25.00
37	33.13	583.96	57.85	4.07	1095.14	11.19	25.00	25.00
38	33.28	583.86	59.39	3.81	1873.43	11.54	25.00	25.00
45	33.58	583.99	59.88	3.64	1888.69	11.74	25.00	25.00
46	33.70	584.02	59.70	3.65	1521.00	11.75	25.00	25.00
47	32.83	583.11	59.47	3.81	1514.90	11.39	25.00	25.00
55	33.41	586.13	56.94	4.38	1317.09	11.15	25.00	25.00
56	33.72	584.25	57.43	4.23	3173.55	11.32	25.00	25.00
57	33.23	582.83	56.68	4.33	866.86	10.98	25.00	25.00
58	33.43	581.85	58.03	3.90	1117.11	11.29	25.00	25.00
65	33.06	579.41	57.78	4.35	1352.10	11.07	25.00	25.00
66	33.26	580.81	58.09	3.97	1302.14	11.22	25.00	25.00
67	32.66	576.75	58.33	4.24	646.68	10.99	25.00	25.00
68	32.69	575.28	59.26	3.89	832.15	11.14	25.00	25.00
75	32.65	576.73	54.62	5.16	592.04	10.28	25.00	25.00
76	33.02	577.47	54.82	5.00	495.78	10.45	25.00	25.00
77	32.71	572.93	56.34	4.50	559.65	10.56	25.00	25.00
78	33.07	570.95	57.66	4.04	625.86	10.89	25.00	25.00
85	32.29	536.68	55.12	4.53	755.17	9.55	25.00	25.00
86	32.38	539.46	55.63	4.09	401.19	9.72	25.00	25.00
87	31.80	548.84	55.31	4.18	465.88	9.65	25.00	25.00

max.	33.64	586.13	59.70	5.95	1696.51	11.75
min.	32.25	561.55	53.43	3.57	401.19	9.93
Median	33.06	577.53	56.91	4.48	913.55	10.74
best cell 47	32.83	583.11	59.47	3.81	1514.90	11.39
yield 0.70
